pandal_id,expected_immersion_date,preferred_time,number_of_participants,starting_location
52,2026-09-27,21:30:00,927,Miyapur
53,2026-09-22,16:30:00,487,LB Nagar
54,2026-09-22,14:00:00,2584,Malakpet
55,2026-09-18,19:30:00,75,Suchitra
56,2026-09-23,18:30:00,106,Tarnaka
57,2026-09-27,21:30:00,191,SR Nagar
58,2026-09-19,10:00:00,250,ECIL
59,2026-09-22,14:00:00,541,Kondapur
60,2026-09-20,21:00:00,1412,Dilsukhnagar
61,2026-09-19,10:00:00,55,Madhapur
62,2026-09-20,12:00:00,6864,Kukatpally
63,2026-09-23,17:00:00,2427,Rajendranagar
64,2026-09-20,19:00:00,176,Mehdipatnam
65,2026-09-25,19:00:00,99,Charminar
66,2026-09-20,18:00:00,1696,Dilsukhnagar
67,2026-09-24,21:00:00,4094,Shamshabad
68,2026-09-20,14:30:00,3043,Kukatpally
69,2026-09-20,17:30:00,193,Kukatpally
70,2026-09-25,19:30:00,556,Secunderabad
71,2026-09-23,20:00:00,4609,Malkajgiri
72,2026-09-19,22:00:00,215,Hayathnagar
73,2026-09-20,17:00:00,2651,Kukatpally
74,2026-09-18,21:30:00,150,Patancheru
75,2026-09-26,19:00:00,1084,SR Nagar
76,2026-09-26,21:30:00,234,Kukatpally
77,2026-09-20,14:00:00,164,LB Nagar
78,2026-09-19,17:30:00,2212,Miyapur
79,2026-09-21,22:00:00,150,Kukatpally
80,2026-09-23,19:00:00,145,Mehdipatnam
81,2026-09-19,17:00:00,724,LB Nagar
82,2026-09-26,18:30:00,795,Mehdipatnam
83,2026-09-27,17:30:00,1195,Habsiguda
84,2026-09-20,16:00:00,1534,Shamshabad
85,2026-09-25,17:30:00,9766,Shamshabad
86,2026-09-23,14:30:00,1967,Ameerpet
87,2026-09-21,19:00:00,2046,Nallakunta
88,2026-09-25,19:00:00,787,Kukatpally
89,2026-09-27,20:00:00,4429,Charminar
90,2026-09-24,12:30:00,132,Kukatpally
91,2026-09-24,20:30:00,526,Patancheru
92,2026-09-19,17:30:00,644,Jubilee Hills
93,2026-09-22,18:30:00,1949,Malkajgiri
94,2026-09-24,19:00:00,675,Kondapur
95,2026-09-22,19:30:00,547,Tolichowki
96,2026-09-21,08:30:00,166,Rajendranagar
97,2026-09-26,20:00:00,2972,Rajendranagar
98,2026-09-25,16:30:00,196,Kukatpally
99,2026-09-25,19:00:00,3196,Rajendranagar
100,2026-09-20,17:30:00,634,Charminar
101,2026-09-20,21:00:00,57,Shamshabad
102,2026-09-26,20:30:00,739,Uppal
103,2026-09-22,08:30:00,1968,Kukatpally
104,2026-09-22,22:00:00,757,Miyapur
105,2026-09-19,08:30:00,649,Kukatpally
106,2026-09-24,14:30:00,2173,Secunderabad
107,2026-09-24,18:30:00,112,Tarnaka
108,2026-09-27,21:00:00,3952,Malkajgiri
109,2026-09-24,09:00:00,636,Malkajgiri
110,2026-09-24,22:00:00,4956,Ameerpet
111,2026-09-19,20:30:00,2269,Chandanagar
112,2026-09-25,18:30:00,88,Alwal
113,2026-09-21,14:00:00,1067,Malakpet
114,2026-09-27,20:00:00,1200,Habsiguda
115,2026-09-23,18:00:00,2377,Secunderabad
116,2026-09-27,12:30:00,99,Tarnaka
117,2026-09-20,16:00:00,507,Ameerpet
118,2026-09-19,16:00:00,305,Gachibowli
119,2026-09-23,21:00:00,2153,Suchitra
120,2026-09-24,16:00:00,2273,Tolichowki
121,2026-09-21,20:30:00,382,Miyapur
122,2026-09-22,16:00:00,181,Ameerpet
123,2026-09-26,11:00:00,110,LB Nagar
124,2026-09-27,21:00:00,110,Uppal
125,2026-09-18,19:30:00,1869,Kukatpally
126,2026-09-23,18:30:00,448,LB Nagar
127,2026-09-19,19:00:00,247,Kondapur
128,2026-09-23,09:30:00,5266,Kukatpally
129,2026-09-19,18:00:00,277,Gachibowli
130,2026-09-27,17:00:00,206,Kondapur
131,2026-09-25,19:00:00,567,Charminar
132,2026-09-20,08:30:00,684,Chandanagar
133,2026-09-23,19:30:00,1925,Uppal
134,2026-09-27,16:30:00,116,Secunderabad
135,2026-09-19,19:00:00,2422,Begumpet
136,2026-09-18,18:30:00,55,Mehdipatnam
137,2026-09-24,17:30:00,170,ECIL
138,2026-09-18,19:00:00,715,Dilsukhnagar
139,2026-09-23,18:00:00,186,Suchitra
140,2026-09-23,14:00:00,3046,Secunderabad
141,2026-09-21,15:00:00,167,ECIL
142,2026-09-21,18:00:00,128,Dilsukhnagar
143,2026-09-25,21:30:00,609,Gachibowli
144,2026-09-27,16:30:00,758,Miyapur
145,2026-09-27,19:00:00,852,Charminar
146,2026-09-22,19:30:00,59,Kondapur
147,2026-09-25,17:30:00,2419,Gachibowli
148,2026-09-19,18:00:00,3743,Dilsukhnagar
149,2026-09-24,21:00:00,2035,Ameerpet
150,2026-09-22,08:30:00,3370,Malkajgiri
151,2026-09-19,20:30:00,428,Nagole
152,2026-09-23,18:30:00,2202,Uppal
153,2026-09-25,22:00:00,601,SR Nagar
154,2026-09-27,19:00:00,4269,Habsiguda
155,2026-09-23,19:30:00,4854,Gachibowli
156,2026-09-22,21:30:00,3770,Malkajgiri
157,2026-09-25,17:00:00,699,Chandanagar
158,2026-09-23,18:30:00,1219,Tarnaka
159,2026-09-23,18:30:00,1088,Banjara Hills
160,2026-09-23,18:30:00,317,Kukatpally
161,2026-09-19,14:30:00,814,Habsiguda
162,2026-09-26,18:30:00,329,Tarnaka
163,2026-09-27,19:30:00,3483,Kukatpally
164,2026-09-19,19:30:00,545,Uppal
165,2026-09-19,12:30:00,1784,Hayathnagar
166,2026-09-23,21:00:00,117,Dilsukhnagar
167,2026-09-25,17:00:00,577,Nallakunta
168,2026-09-18,17:00:00,9422,Kukatpally
169,2026-09-23,17:00:00,2005,Chandanagar
170,2026-09-21,14:00:00,192,Kompally
171,2026-09-26,14:00:00,1916,Malkajgiri
172,2026-09-26,20:00:00,87,Ameerpet
173,2026-09-24,17:00:00,1738,LB Nagar
174,2026-09-26,18:30:00,137,Kukatpally
175,2026-09-22,19:00:00,2292,Miyapur
176,2026-09-25,21:00:00,1141,Madhapur
177,2026-09-19,20:30:00,340,Secunderabad
178,2026-09-23,09:30:00,484,Malkajgiri
179,2026-09-18,17:30:00,50,SR Nagar
180,2026-09-27,21:00:00,163,Nallakunta
181,2026-09-18,10:00:00,104,Madhapur
182,2026-09-26,19:00:00,3934,Hayathnagar
183,2026-09-27,20:30:00,1112,Rajendranagar
184,2026-09-22,15:30:00,103,Dilsukhnagar
185,2026-09-27,10:00:00,463,LB Nagar
186,2026-09-18,21:30:00,1290,Secunderabad
187,2026-09-24,16:30:00,1622,Rajendranagar
188,2026-09-21,20:00:00,346,ECIL
189,2026-09-18,19:30:00,178,Secunderabad
190,2026-09-20,18:30:00,1270,Habsiguda
191,2026-09-20,18:00:00,2876,Kukatpally
192,2026-09-22,15:00:00,4561,Miyapur
193,2026-09-24,12:00:00,6453,Patancheru
194,2026-09-20,21:30:00,558,Kukatpally
195,2026-09-18,17:30:00,828,Dilsukhnagar
196,2026-09-19,21:30:00,841,Uppal
197,2026-09-26,12:30:00,7997,Patancheru
198,2026-09-21,20:30:00,583,Charminar
199,2026-09-21,18:00:00,2254,Alwal
200,2026-09-24,18:30:00,757,Patancheru
201,2026-09-27,18:00:00,2593,Kukatpally
202,2026-09-26,18:30:00,1986,Kukatpally
203,2026-09-18,13:00:00,199,Miyapur
204,2026-09-25,17:00:00,443,Mehdipatnam
205,2026-09-22,18:30:00,953,Kukatpally
206,2026-09-24,10:00:00,260,Kondapur
207,2026-09-22,18:30:00,4502,Charminar
208,2026-09-23,19:30:00,1616,Kukatpally
209,2026-09-24,19:00:00,3141,Secunderabad
210,2026-09-26,19:00:00,167,Shamshabad
211,2026-09-19,14:00:00,108,SR Nagar
212,2026-09-18,19:30:00,2510,Jubilee Hills
213,2026-09-23,19:30:00,1134,Banjara Hills
214,2026-09-24,16:30:00,11084,Charminar
215,2026-09-26,09:30:00,472,Mehdipatnam
216,2026-09-23,17:30:00,180,Begumpet
217,2026-09-18,15:30:00,76,Charminar
218,2026-09-26,19:00:00,65,Tarnaka
219,2026-09-26,08:30:00,745,Chandanagar
220,2026-09-26,21:00:00,1862,Kukatpally
221,2026-09-21,20:00:00,65,Kukatpally
222,2026-09-23,18:30:00,2139,Alwal
223,2026-09-22,20:00:00,117,Mehdipatnam
224,2026-09-21,14:30:00,1660,Charminar
225,2026-09-23,16:30:00,86,Secunderabad
226,2026-09-26,17:00:00,501,Nallakunta
227,2026-09-22,12:00:00,2571,Ameerpet
228,2026-09-23,19:30:00,159,Dilsukhnagar
229,2026-09-24,08:30:00,458,Dilsukhnagar
230,2026-09-20,20:30:00,58,Habsiguda
231,2026-09-27,22:00:00,1489,Nagole
232,2026-09-22,21:30:00,1580,Kondapur
233,2026-09-26,12:30:00,466,Dilsukhnagar
234,2026-09-25,21:00:00,1720,Alwal
235,2026-09-19,21:00:00,2218,Suchitra
236,2026-09-22,17:00:00,375,Secunderabad
237,2026-09-27,11:30:00,130,Madhapur
238,2026-09-18,17:30:00,116,Kukatpally
239,2026-09-25,20:00:00,3785,LB Nagar
240,2026-09-21,19:30:00,1615,Madhapur
241,2026-09-25,16:30:00,5122,Charminar
242,2026-09-23,18:00:00,80,Uppal
243,2026-09-25,19:00:00,3929,Habsiguda
244,2026-09-26,17:30:00,62,Habsiguda
245,2026-09-23,20:00:00,1499,SR Nagar
246,2026-09-20,18:30:00,2385,Kukatpally
247,2026-09-25,18:30:00,836,Chandanagar
248,2026-09-19,18:30:00,2840,Secunderabad
249,2026-09-25,12:30:00,1943,Tolichowki
250,2026-09-24,08:00:00,174,Kukatpally
251,2026-09-21,14:00:00,1746,Malkajgiri
252,2026-09-19,19:00:00,2315,Dilsukhnagar
253,2026-09-18,10:00:00,124,Chandanagar
254,2026-09-27,20:30:00,76,Dilsukhnagar
255,2026-09-21,11:00:00,96,Alwal
256,2026-09-18,20:00:00,2210,Malkajgiri
257,2026-09-25,21:00:00,1986,Miyapur
258,2026-09-18,18:00:00,76,Kukatpally
259,2026-09-26,18:30:00,790,Rajendranagar
260,2026-09-18,20:30:00,735,Chandanagar
261,2026-09-19,20:30:00,405,Nagole
262,2026-09-22,12:30:00,3516,Ameerpet
263,2026-09-25,21:00:00,1383,Uppal
264,2026-09-23,19:30:00,113,Miyapur
265,2026-09-21,18:30:00,301,Malkajgiri
266,2026-09-26,09:00:00,125,Nagole
267,2026-09-19,18:30:00,4520,Jubilee Hills
268,2026-09-22,18:00:00,788,Patancheru
269,2026-09-24,18:30:00,921,Kukatpally
270,2026-09-27,20:30:00,110,Tarnaka
271,2026-09-18,16:30:00,738,Charminar
272,2026-09-21,19:00:00,133,Miyapur
273,2026-09-25,10:30:00,589,LB Nagar
274,2026-09-18,16:00:00,2673,Habsiguda
275,2026-09-25,08:00:00,3360,Chandanagar
276,2026-09-25,21:30:00,185,Alwal
277,2026-09-27,15:30:00,748,Alwal
278,2026-09-23,17:00:00,234,Banjara Hills
279,2026-09-19,19:30:00,4709,Dilsukhnagar
280,2026-09-26,20:00:00,157,Shamshabad
281,2026-09-25,17:00:00,154,Tolichowki
282,2026-09-23,20:00:00,2241,Chandanagar
283,2026-09-27,20:30:00,7232,Nallakunta
284,2026-09-22,08:30:00,1666,Uppal
285,2026-09-25,21:00:00,725,Nallakunta
286,2026-09-19,21:00:00,4165,Rajendranagar
287,2026-09-22,21:30:00,133,Secunderabad
288,2026-09-19,19:30:00,865,Ameerpet
289,2026-09-19,09:30:00,500,Suchitra
290,2026-09-21,20:00:00,129,Dilsukhnagar
291,2026-09-21,12:30:00,69,Madhapur
292,2026-09-18,20:30:00,77,Ameerpet
293,2026-09-20,15:30:00,696,Kukatpally
294,2026-09-22,19:30:00,540,Charminar
295,2026-09-19,19:30:00,3543,Secunderabad
296,2026-09-27,18:30:00,2882,Kukatpally
297,2026-09-20,18:30:00,1492,Miyapur
298,2026-09-25,21:00:00,3008,Kondapur
299,2026-09-27,17:00:00,493,Patancheru
300,2026-09-21,19:00:00,574,Secunderabad
301,2026-09-27,19:30:00,2181,Uppal
302,2026-09-21,14:00:00,417,Alwal
303,2026-09-26,18:30:00,502,LB Nagar
304,2026-09-20,18:00:00,200,Patancheru
305,2026-09-24,14:30:00,6173,Uppal
306,2026-09-24,10:00:00,2912,LB Nagar
307,2026-09-20,09:30:00,3147,Alwal
308,2026-09-27,19:30:00,4244,Begumpet
309,2026-09-22,18:30:00,2621,Tarnaka
310,2026-09-25,18:00:00,342,Begumpet
311,2026-09-27,18:30:00,4515,Charminar
312,2026-09-20,18:00:00,58,Kukatpally
313,2026-09-22,21:00:00,4476,Malkajgiri
314,2026-09-19,19:00:00,1774,Habsiguda
315,2026-09-27,17:30:00,157,Gachibowli
316,2026-09-20,19:00:00,316,Shamshabad
317,2026-09-19,19:00:00,340,ECIL
318,2026-09-23,19:00:00,2387,LB Nagar
319,2026-09-21,18:00:00,305,Malakpet
320,2026-09-24,17:30:00,138,Ameerpet
321,2026-09-21,18:30:00,358,Madhapur
322,2026-09-26,18:30:00,3930,Charminar
323,2026-09-23,12:00:00,1358,Secunderabad
324,2026-09-20,20:00:00,4897,Shamshabad
325,2026-09-25,18:00:00,121,Uppal
326,2026-09-26,17:30:00,730,Tolichowki
327,2026-09-23,19:00:00,1792,Suchitra
328,2026-09-20,17:30:00,1472,Chandanagar
329,2026-09-19,19:00:00,60,Dilsukhnagar
330,2026-09-26,22:00:00,2569,Dilsukhnagar
331,2026-09-23,18:00:00,174,Dilsukhnagar
332,2026-09-26,17:30:00,4083,Charminar
333,2026-09-23,17:00:00,3051,Charminar
334,2026-09-26,19:00:00,269,Begumpet
335,2026-09-19,21:30:00,716,LB Nagar
336,2026-09-19,20:00:00,866,Kukatpally
337,2026-09-27,21:00:00,1526,Gachibowli
338,2026-09-19,21:00:00,1915,Malkajgiri
339,2026-09-26,19:00:00,4134,Kukatpally
340,2026-09-24,17:30:00,104,Tolichowki
341,2026-09-27,21:30:00,2479,Tolichowki
342,2026-09-24,20:30:00,447,Malkajgiri
343,2026-09-24,16:00:00,1777,Gachibowli
344,2026-09-25,16:00:00,2323,Nallakunta
345,2026-09-26,19:30:00,2881,Charminar
346,2026-09-19,22:00:00,1634,Malkajgiri
347,2026-09-23,20:00:00,3942,Malkajgiri
348,2026-09-27,20:30:00,211,Nallakunta
349,2026-09-18,19:00:00,5787,Hayathnagar
350,2026-09-26,19:00:00,63,Gachibowli
351,2026-09-18,11:00:00,665,Secunderabad
352,2026-09-18,19:30:00,1052,Shamshabad
353,2026-09-18,20:00:00,7417,Suchitra
354,2026-09-25,09:30:00,190,Habsiguda
355,2026-09-20,18:00:00,779,LB Nagar
356,2026-09-18,17:30:00,742,Secunderabad
357,2026-09-19,17:00:00,242,Madhapur
358,2026-09-20,20:00:00,666,SR Nagar
359,2026-09-24,15:30:00,3750,Uppal
360,2026-09-21,18:00:00,633,Charminar
361,2026-09-25,08:30:00,459,Nallakunta
362,2026-09-27,21:00:00,420,SR Nagar
363,2026-09-25,19:30:00,773,SR Nagar
364,2026-09-21,21:30:00,654,Begumpet
365,2026-09-25,19:00:00,604,Mehdipatnam
366,2026-09-23,21:00:00,2246,Kukatpally
367,2026-09-22,08:30:00,131,SR Nagar
368,2026-09-24,20:30:00,188,Kukatpally
369,2026-09-22,20:30:00,745,Chandanagar
370,2026-09-27,11:30:00,635,Miyapur
371,2026-09-26,20:00:00,66,Suchitra
372,2026-09-25,21:30:00,296,Begumpet
373,2026-09-20,19:00:00,83,Kompally
374,2026-09-23,15:30:00,1655,Malkajgiri
375,2026-09-26,18:00:00,2831,Alwal
376,2026-09-19,16:30:00,2207,Kukatpally
377,2026-09-26,14:30:00,565,Secunderabad
378,2026-09-18,12:30:00,100,Banjara Hills
379,2026-09-19,14:00:00,113,Uppal
380,2026-09-21,18:00:00,559,Chandanagar
381,2026-09-22,20:00:00,175,SR Nagar
382,2026-09-27,19:30:00,569,Dilsukhnagar
383,2026-09-18,09:00:00,62,Miyapur
384,2026-09-26,11:00:00,722,Patancheru
385,2026-09-22,19:00:00,1287,Kukatpally
386,2026-09-19,18:30:00,4261,Chandanagar
387,2026-09-25,19:30:00,321,Nagole
388,2026-09-18,10:30:00,2353,Habsiguda
389,2026-09-27,19:00:00,1037,SR Nagar
390,2026-09-19,18:30:00,138,Nallakunta
391,2026-09-25,15:30:00,76,Hayathnagar
392,2026-09-19,18:00:00,71,Rajendranagar
393,2026-09-19,20:00:00,218,Gachibowli
394,2026-09-21,14:30:00,428,Uppal
395,2026-09-25,13:00:00,460,Uppal
396,2026-09-22,11:30:00,690,Alwal
397,2026-09-26,17:30:00,4937,Miyapur
398,2026-09-19,20:00:00,513,LB Nagar
399,2026-09-24,20:00:00,170,Kukatpally
400,2026-09-19,19:00:00,410,Malakpet
401,2026-09-20,11:30:00,1335,Banjara Hills
402,2026-09-19,11:30:00,1670,Dilsukhnagar
403,2026-09-24,21:30:00,4990,Kukatpally
404,2026-09-19,17:30:00,254,Alwal
405,2026-09-26,19:00:00,2230,Charminar
406,2026-09-22,16:30:00,275,Miyapur
407,2026-09-24,08:30:00,631,Nallakunta
408,2026-09-19,16:30:00,2630,LB Nagar
409,2026-09-21,11:30:00,167,Dilsukhnagar
410,2026-09-24,10:00:00,598,Begumpet
411,2026-09-19,18:00:00,193,Malkajgiri
412,2026-09-20,11:30:00,453,Uppal
413,2026-09-26,19:00:00,196,Ameerpet
414,2026-09-22,21:00:00,98,Dilsukhnagar
415,2026-09-24,21:00:00,494,Chandanagar
416,2026-09-23,10:00:00,2005,Madhapur
417,2026-09-25,20:30:00,1784,Dilsukhnagar
418,2026-09-20,20:30:00,419,Shamshabad
419,2026-09-27,15:00:00,193,Dilsukhnagar
420,2026-09-21,20:30:00,2051,Tolichowki
421,2026-09-27,19:30:00,8839,Kukatpally
422,2026-09-21,11:30:00,402,Miyapur
423,2026-09-24,18:30:00,1291,Rajendranagar
424,2026-09-23,19:00:00,3553,Nallakunta
425,2026-09-21,18:00:00,644,Uppal
426,2026-09-27,20:00:00,4862,Secunderabad
427,2026-09-27,17:30:00,3890,Gachibowli
428,2026-09-24,16:00:00,397,Kukatpally
429,2026-09-21,20:00:00,106,Kompally
430,2026-09-21,18:30:00,285,Malakpet
431,2026-09-26,20:30:00,1410,Miyapur
432,2026-09-25,11:30:00,731,Kukatpally
433,2026-09-22,09:00:00,128,Gachibowli
434,2026-09-23,19:30:00,257,Alwal
435,2026-09-26,14:30:00,1867,Mehdipatnam
436,2026-09-26,08:30:00,138,Gachibowli
437,2026-09-24,19:00:00,61,Malkajgiri
438,2026-09-22,18:30:00,134,Madhapur
439,2026-09-27,17:00:00,91,Miyapur
440,2026-09-24,21:30:00,158,Chandanagar
441,2026-09-24,20:00:00,178,ECIL
442,2026-09-19,20:30:00,2412,Kukatpally
443,2026-09-27,14:30:00,61,Chandanagar
444,2026-09-26,21:30:00,732,Mehdipatnam
445,2026-09-22,21:00:00,2872,Charminar
446,2026-09-22,19:00:00,581,Uppal
447,2026-09-20,17:30:00,3257,Malkajgiri
448,2026-09-18,18:00:00,157,Secunderabad
449,2026-09-19,16:30:00,1275,Chandanagar
450,2026-09-25,14:00:00,616,Madhapur
451,2026-09-21,21:00:00,513,Dilsukhnagar
452,2026-09-20,20:00:00,4467,SR Nagar
453,2026-09-25,08:00:00,4119,Kondapur
454,2026-09-18,16:00:00,653,Secunderabad
455,2026-09-25,18:30:00,116,Suchitra
456,2026-09-23,18:30:00,4888,Charminar
457,2026-09-18,17:30:00,194,Tolichowki
458,2026-09-22,19:30:00,450,Tolichowki
459,2026-09-22,20:00:00,941,Kukatpally
460,2026-09-25,19:30:00,2330,Alwal
461,2026-09-20,19:30:00,199,Chandanagar
462,2026-09-21,19:30:00,1083,Suchitra
463,2026-09-24,11:30:00,3198,Kukatpally
464,2026-09-25,13:00:00,110,Gachibowli
465,2026-09-21,16:00:00,4667,Kukatpally
466,2026-09-20,12:30:00,90,Miyapur
467,2026-09-24,21:30:00,797,Kukatpally
468,2026-09-25,19:00:00,1680,ECIL
469,2026-09-19,22:00:00,2292,Miyapur
470,2026-09-27,08:30:00,1812,Madhapur
471,2026-09-24,19:30:00,679,Secunderabad
472,2026-09-18,22:00:00,787,Patancheru
473,2026-09-22,22:00:00,199,Kondapur
474,2026-09-21,18:00:00,6727,Ameerpet
475,2026-09-24,20:00:00,778,Malakpet
476,2026-09-23,16:00:00,783,Begumpet
477,2026-09-27,19:00:00,1579,SR Nagar
478,2026-09-19,10:00:00,1240,Ameerpet
479,2026-09-21,17:30:00,1548,LB Nagar
480,2026-09-27,17:30:00,389,Kondapur
481,2026-09-22,18:00:00,3768,Kompally
482,2026-09-18,20:00:00,543,Dilsukhnagar
483,2026-09-19,17:00:00,1982,Secunderabad
484,2026-09-24,19:30:00,2156,Alwal
485,2026-09-18,20:30:00,2383,Hayathnagar
486,2026-09-21,18:30:00,2124,Nagole
487,2026-09-23,21:00:00,447,Charminar
488,2026-09-24,18:30:00,131,Kukatpally
489,2026-09-22,20:30:00,9128,Dilsukhnagar
490,2026-09-22,10:30:00,171,Secunderabad
491,2026-09-25,21:00:00,401,Miyapur
492,2026-09-22,10:00:00,1941,LB Nagar
493,2026-09-24,11:30:00,713,Secunderabad
494,2026-09-24,10:00:00,1067,Gachibowli
495,2026-09-21,18:30:00,2036,Miyapur
496,2026-09-27,21:30:00,87,Tarnaka
497,2026-09-19,21:30:00,1174,Kompally
498,2026-09-18,13:30:00,4323,Gachibowli
499,2026-09-20,18:30:00,559,Habsiguda
500,2026-09-19,12:00:00,2203,ECIL
501,2026-09-26,20:30:00,2869,Charminar
502,2026-09-19,19:00:00,2713,Tolichowki
503,2026-09-18,19:30:00,2616,SR Nagar
504,2026-09-24,19:30:00,2263,Secunderabad
505,2026-09-22,10:30:00,118,Jubilee Hills
506,2026-09-24,17:30:00,354,Dilsukhnagar
507,2026-09-27,21:00:00,461,Uppal
508,2026-09-22,21:00:00,3972,Tolichowki
509,2026-09-24,16:00:00,1585,LB Nagar
510,2026-09-21,13:30:00,699,Habsiguda
511,2026-09-24,18:30:00,2312,Kukatpally
512,2026-09-22,21:30:00,180,Gachibowli
513,2026-09-19,19:00:00,582,Miyapur
514,2026-09-24,21:00:00,141,Dilsukhnagar
515,2026-09-20,19:00:00,66,Ameerpet
516,2026-09-27,20:00:00,4634,Mehdipatnam
517,2026-09-27,11:00:00,4711,Uppal
518,2026-09-21,20:00:00,758,Nagole
519,2026-09-23,13:00:00,1776,Alwal
520,2026-09-22,19:00:00,346,Malakpet
521,2026-09-18,21:30:00,1494,Madhapur
522,2026-09-20,18:30:00,598,LB Nagar
523,2026-09-22,21:30:00,1773,Ameerpet
524,2026-09-22,08:30:00,564,Chandanagar
525,2026-09-20,10:30:00,536,Kondapur
526,2026-09-19,22:00:00,642,Kompally
527,2026-09-18,18:30:00,313,Kukatpally
528,2026-09-24,17:00:00,8429,Kondapur
529,2026-09-21,11:30:00,84,SR Nagar
530,2026-09-25,17:30:00,4111,Uppal
531,2026-09-26,21:30:00,491,Banjara Hills
532,2026-09-24,18:30:00,4735,Kompally
533,2026-09-22,14:00:00,303,Begumpet
534,2026-09-24,16:00:00,151,Malkajgiri
535,2026-09-18,17:30:00,489,Miyapur
536,2026-09-27,21:00:00,6757,Kukatpally
537,2026-09-18,17:00:00,1836,Tarnaka
538,2026-09-27,08:00:00,414,Malakpet
539,2026-09-20,22:00:00,764,Hayathnagar
540,2026-09-18,12:00:00,602,Kompally
541,2026-09-27,17:00:00,72,LB Nagar
542,2026-09-25,15:30:00,2459,Alwal
543,2026-09-27,20:30:00,128,Malakpet
544,2026-09-23,18:00:00,61,Gachibowli
545,2026-09-24,16:00:00,124,Madhapur
546,2026-09-24,19:00:00,1977,Dilsukhnagar
547,2026-09-22,19:00:00,1426,Charminar
548,2026-09-24,19:00:00,114,Dilsukhnagar
549,2026-09-20,19:00:00,340,Secunderabad
550,2026-09-24,08:00:00,600,Chandanagar
551,2026-09-19,21:00:00,3246,Charminar
552,2026-09-22,18:00:00,73,Secunderabad
553,2026-09-23,15:30:00,732,Tolichowki
554,2026-09-19,14:30:00,3325,Kondapur
555,2026-09-27,20:00:00,426,Shamshabad
556,2026-09-22,21:00:00,2896,LB Nagar
557,2026-09-27,16:30:00,299,Malkajgiri
558,2026-09-20,16:00:00,462,Malakpet
559,2026-09-23,19:30:00,77,Secunderabad
560,2026-09-23,18:00:00,10644,Charminar
561,2026-09-23,12:00:00,3900,Malakpet
562,2026-09-26,19:00:00,716,Charminar
563,2026-09-24,20:30:00,165,Malkajgiri
564,2026-09-19,19:30:00,114,Kukatpally
565,2026-09-18,12:00:00,76,Miyapur
566,2026-09-20,17:30:00,183,Patancheru
567,2026-09-20,17:30:00,718,Chandanagar
568,2026-09-18,19:00:00,184,LB Nagar
569,2026-09-25,16:30:00,703,Alwal
570,2026-09-20,19:30:00,1288,Chandanagar
571,2026-09-21,17:00:00,417,Hayathnagar
572,2026-09-19,08:30:00,1779,Patancheru
573,2026-09-18,16:30:00,108,Gachibowli
574,2026-09-22,20:00:00,847,Charminar
