pandal_id,idol_height,idol_width,estimated_weight,idol_type
167,8.2,3.8,319,POP
168,42.3,18.8,8596,POP
169,16.1,7.6,1249,POP
170,5.3,2.3,115,Eco-Friendly
171,25.8,11.5,3200,POP
172,4.5,2.0,95,POP
173,18.5,8.5,1637,Clay
174,7.7,3.3,280,Clay
175,22.8,10.1,2121,Eco-Friendly
176,24.8,11.1,2941,Clay
177,15.0,6.7,1076,Clay
178,11.0,5.1,492,Eco-Friendly
179,5.5,2.7,145,Clay
180,5.8,2.6,162,Clay
181,7.1,2.9,203,Eco-Friendly
182,30.6,13.6,4494,POP
183,23.4,10.7,2627,Clay
184,4.9,2.3,98,Eco-Friendly
185,12.0,5.6,689,Clay
186,17.4,8.0,1458,POP
187,24.4,10.8,2868,Clay
188,8.1,3.4,266,Eco-Friendly
189,7.5,3.5,270,POP
190,18.4,8.1,1383,Eco-Friendly
191,28.6,13.0,3343,Eco-Friendly
192,39.2,17.8,6277,Eco-Friendly
193,69.6,31.3,19741,Eco-Friendly
194,9.9,4.5,468,POP
195,21.5,9.6,1876,Eco-Friendly
196,17.7,7.7,1507,Synthetic
197,48.2,21.7,11161,POP
198,8.7,3.7,311,Eco-Friendly
199,34.0,15.3,5536,POP
200,13.9,6.2,922,POP
201,38.5,17.1,7096,POP
202,37.6,16.9,6770,Synthetic
203,6.3,2.8,188,POP
204,9.5,4.0,368,Eco-Friendly
205,20.0,9.0,1626,Eco-Friendly
206,10.4,4.6,520,Clay
207,53.0,23.7,13506,POP
208,20.1,8.8,1653,Eco-Friendly
209,39.3,17.6,6286,Eco-Friendly
210,7.0,3.2,237,POP
211,7.9,3.8,301,POP
212,39.2,17.3,7361,POP
213,20.6,9.2,1723,Eco-Friendly
214,43.1,19.7,8920,Synthetic
215,8.4,3.7,337,Clay
216,5.5,2.5,143,Clay
217,5.4,2.5,116,Eco-Friendly
218,6.2,2.9,181,POP
219,14.1,6.3,959,Clay
220,23.7,10.7,2706,Synthetic
221,4.2,1.6,72,Eco-Friendly
222,39.8,18.1,7588,Clay
223,5.0,2.0,99,Eco-Friendly
224,20.9,9.3,2094,Synthetic
225,5.6,2.3,148,Synthetic
226,8.6,3.8,357,POP
227,38.6,17.6,7135,POP
228,7.8,3.6,289,POP
229,9.2,4.0,347,Eco-Friendly
230,7.2,3.3,211,Eco-Friendly
231,24.9,11.0,2538,Eco-Friendly
232,25.0,11.5,2991,Clay
233,11.8,5.3,663,Clay
234,17.7,7.7,1496,POP
235,15.4,6.8,1131,Synthetic
236,10.9,4.8,481,Eco-Friendly
237,4.3,1.8,89,POP
238,7.5,3.4,272,Synthetic
239,60.3,27.2,14854,Eco-Friendly
240,23.7,10.5,2287,Eco-Friendly
241,37.6,17.0,6769,POP
242,7.5,3.7,271,Clay
243,26.9,12.0,3481,POP
244,7.3,3.3,218,Eco-Friendly
245,24.8,11.2,2511,Eco-Friendly
246,37.3,16.6,5670,Eco-Friendly
247,23.4,10.5,2233,Eco-Friendly
248,37.2,16.5,5644,Eco-Friendly
249,22.1,9.9,1989,Eco-Friendly
250,7.5,3.7,269,Synthetic
251,15.7,7.2,999,Eco-Friendly
252,25.0,11.1,3003,Clay
253,5.8,2.4,161,POP
254,4.3,2.1,89,POP
255,7.9,3.3,296,POP
256,21.4,9.6,1865,Eco-Friendly
257,18.2,8.3,1591,POP
258,6.6,2.9,209,POP
259,9.3,4.4,415,POP
260,11.7,5.0,658,POP
261,12.3,5.7,728,Clay
262,58.2,26.0,16269,Clay
263,21.5,9.6,2221,Clay
264,5.8,2.3,137,Eco-Friendly
265,14.8,6.8,1054,POP
266,6.9,3.3,193,Eco-Friendly
267,27.1,12.2,3534,POP
268,8.1,3.5,312,Clay
269,19.0,8.3,1727,Clay
270,4.8,2.0,93,Eco-Friendly
271,8.2,4.0,275,Eco-Friendly
272,7.7,3.8,287,POP
273,13.7,5.9,901,POP
274,31.8,14.4,4849,Clay
275,35.9,16.2,6176,POP
276,4.9,2.5,96,Eco-Friendly
277,11.0,4.7,496,Eco-Friendly
278,14.8,6.8,895,Eco-Friendly
279,31.3,13.9,4695,POP
280,5.7,2.8,153,POP
281,6.0,2.7,173,Clay
282,22.3,10.0,2376,POP
283,59.7,27.1,14517,Eco-Friendly
284,21.2,9.6,2163,POP
285,10.8,4.9,563,POP
286,27.7,12.7,3686,Clay
287,5.6,2.6,151,Clay
288,16.6,7.4,1328,Synthetic
289,8.1,3.7,312,Clay
290,4.9,2.5,117,Clay
291,5.3,2.6,137,Clay
292,7.8,3.4,247,Eco-Friendly
293,13.2,6.0,830,Clay
294,11.1,5.2,594,Clay
295,48.1,21.4,11101,Clay
296,34.6,15.4,4884,Eco-Friendly
297,20.1,8.8,1643,Eco-Friendly
298,35.3,15.6,5080,Eco-Friendly
299,9.8,4.4,390,Eco-Friendly
300,8.2,3.6,323,POP
301,16.9,7.7,1162,Eco-Friendly
302,9.2,4.3,409,POP
303,8.1,3.5,316,POP
304,8.2,4.0,323,POP
305,59.8,26.8,17145,POP
306,27.4,12.4,3060,Eco-Friendly
307,36.7,16.6,6477,POP
308,36.5,16.7,6387,Clay
309,31.5,14.4,4057,Eco-Friendly
310,10.3,4.7,509,POP
311,31.2,13.9,3975,Eco-Friendly
312,6.3,2.7,193,POP
313,38.0,17.1,6912,Clay
314,16.1,7.0,1242,Clay
315,6.4,3.1,198,POP
316,8.1,3.5,269,Eco-Friendly
317,9.7,4.6,384,Eco-Friendly
318,16.0,7.2,1045,Eco-Friendly
319,14.5,6.5,1010,Clay
320,6.9,3.0,226,Clay
321,8.9,4.2,377,POP
322,34.2,15.2,5608,Synthetic
323,23.2,10.3,2574,Clay
324,34.0,15.5,5556,POP
325,6.4,2.8,199,POP
326,11.9,5.2,577,Eco-Friendly
327,21.7,10.0,2263,POP
328,16.5,7.3,1311,POP
329,4.4,1.7,92,POP
330,30.9,13.9,4572,Clay
331,6.4,3.0,195,Clay
332,35.4,16.2,5108,Eco-Friendly
333,33.7,15.0,4626,Eco-Friendly
334,12.2,5.4,603,Eco-Friendly
335,8.5,3.8,293,Eco-Friendly
336,21.4,9.5,2198,Clay
337,18.2,8.1,1597,POP
338,30.4,14.0,4448,Clay
339,33.4,15.3,4560,Eco-Friendly
340,4.7,2.1,105,Clay
341,18.5,8.4,1638,POP
342,8.8,4.3,317,Eco-Friendly
343,23.4,10.6,2632,POP
344,23.6,10.7,2684,Clay
345,15.4,6.8,962,Eco-Friendly
346,18.5,8.2,1636,Clay
347,53.4,24.1,13695,Clay
348,12.0,5.4,589,Eco-Friendly
349,43.5,19.8,7717,Eco-Friendly
350,6.9,2.9,192,Eco-Friendly
351,10.8,4.7,562,POP
352,20.7,9.6,2062,Clay
353,67.7,30.4,21988,POP
354,5.3,2.6,133,POP
355,8.5,3.5,292,Eco-Friendly
356,13.4,5.8,866,Clay
357,11.1,4.7,588,POP
358,12.6,5.4,642,Eco-Friendly
359,28.2,12.7,3810,POP
360,14.9,6.5,903,Eco-Friendly
361,9.9,4.2,466,POP
362,9.6,4.2,375,Eco-Friendly
363,11.7,5.2,556,Eco-Friendly
364,10.5,4.7,527,Clay
365,13.4,5.7,859,Clay
366,17.6,8.1,1263,Eco-Friendly
367,5.3,2.6,134,POP
368,4.2,1.8,70,Eco-Friendly
369,13.9,6.0,928,Clay
370,13.2,5.9,706,Eco-Friendly
371,5.6,2.8,125,Eco-Friendly
372,14.6,6.8,869,Eco-Friendly
373,4.2,2.1,82,Clay
374,19.5,8.6,1825,POP
375,26.6,12.3,3392,Clay
376,26.3,12.0,2816,Eco-Friendly
377,8.2,3.7,277,Eco-Friendly
378,7.9,3.8,298,POP
379,4.4,2.1,92,POP
380,8.6,3.9,353,POP
381,5.5,2.3,124,Eco-Friendly
382,8.5,4.1,345,Clay
383,4.5,2.0,82,Eco-Friendly
384,13.2,6.1,840,POP
385,16.1,7.3,1058,Eco-Friendly
386,31.6,14.3,4790,Synthetic
387,12.7,5.7,661,Eco-Friendly
388,23.6,10.8,2676,Synthetic
389,17.2,8.0,1421,POP
390,6.6,2.8,210,Clay
391,4.2,1.7,70,Eco-Friendly
392,6.0,2.5,144,Eco-Friendly
393,12.1,5.5,600,Eco-Friendly
394,8.7,3.9,359,POP
395,11.2,4.8,514,Eco-Friendly
396,9.9,4.3,474,POP
397,36.1,16.4,6267,POP
398,13.5,6.1,742,Eco-Friendly
399,7.0,3.0,234,Synthetic
400,13.3,6.2,848,Clay
401,18.7,8.4,1675,POP
402,16.4,7.5,1093,Eco-Friendly
403,28.9,13.2,3404,Eco-Friendly
404,11.6,5.3,545,Eco-Friendly
405,32.2,14.5,4966,POP
406,12.5,5.4,744,POP
407,13.0,6.0,805,Clay
408,26.8,12.2,2937,Eco-Friendly
409,6.4,3.0,196,Synthetic
410,10.9,5.0,575,POP
411,7.4,3.2,259,Clay
412,12.0,5.7,583,Eco-Friendly
413,6.8,3.3,221,POP
414,5.7,2.8,156,POP
415,14.6,6.7,1017,POP
416,19.4,8.9,1800,POP
417,16.3,7.3,1277,Synthetic
418,8.5,3.6,293,Eco-Friendly
419,5.1,2.5,124,Synthetic
420,19.5,8.9,1550,Eco-Friendly
421,41.9,19.1,7155,Eco-Friendly
422,13.4,5.8,732,Eco-Friendly
423,20.6,9.5,1731,Eco-Friendly
424,34.4,15.5,5669,Synthetic
425,10.4,4.6,515,Synthetic
426,25.6,11.4,3153,POP
427,39.7,17.7,7568,Clay
428,13.0,5.9,684,Eco-Friendly
429,5.7,2.4,156,POP
430,11.2,5.0,605,POP
431,22.9,10.1,2133,Eco-Friendly
432,13.5,5.9,743,Eco-Friendly
433,7.0,3.3,201,Eco-Friendly
434,14.1,6.2,953,Clay
435,20.6,9.3,1727,Eco-Friendly
436,6.0,2.5,172,POP
437,4.4,1.9,77,Eco-Friendly
438,5.1,2.5,127,Clay
439,6.6,2.8,207,POP
440,6.2,2.6,186,POP
441,5.1,2.6,106,Eco-Friendly
442,30.5,13.8,4452,POP
443,6.5,2.7,200,POP
444,10.2,4.9,503,Clay
445,18.2,8.5,1595,Synthetic
446,8.1,3.7,314,Clay
447,39.6,17.7,6397,Eco-Friendly
448,7.0,3.5,237,Synthetic
449,18.6,8.4,1656,POP
450,9.7,4.1,384,Eco-Friendly
451,9.0,4.0,388,Clay
452,31.5,14.2,4772,POP
453,39.7,17.9,6426,Eco-Friendly
454,10.2,4.3,499,POP
455,4.9,2.4,97,Eco-Friendly
456,32.7,14.6,4359,Eco-Friendly
457,5.6,2.7,152,Synthetic
458,13.5,6.2,745,Eco-Friendly
459,16.7,7.4,1136,Eco-Friendly
460,20.5,9.1,2010,Synthetic
461,4.2,2.0,83,Synthetic
462,17.9,8.3,1541,POP
463,39.4,17.9,6346,Eco-Friendly
464,6.5,2.9,174,Eco-Friendly
465,28.9,12.8,4022,Clay
466,6.4,2.8,166,Eco-Friendly
467,14.3,6.7,984,POP
468,16.9,7.3,1158,Eco-Friendly
469,19.3,8.5,1786,POP
470,15.6,7.2,1173,Clay
471,14.4,6.6,990,POP
472,11.6,5.2,550,Eco-Friendly
473,4.6,2.0,84,Eco-Friendly
474,58.9,26.6,16674,POP
475,8.9,3.9,382,POP
476,14.7,6.7,1030,POP
477,15.7,6.9,1006,Eco-Friendly
478,24.1,10.7,2781,Clay
479,19.8,8.7,1885,POP
480,12.1,5.5,706,POP
481,37.7,16.8,6807,Clay
482,10.8,4.6,473,Eco-Friendly
483,34.3,15.2,4787,Eco-Friendly
484,19.9,9.1,1907,Synthetic
485,27.5,12.3,3624,POP
486,22.1,10.0,1999,Eco-Friendly
487,14.7,6.7,1034,POP
488,5.0,2.0,121,POP
489,60.0,27.2,17256,POP
490,5.7,2.7,130,Eco-Friendly
491,13.2,5.9,842,POP
492,20.9,9.1,2104,POP
493,9.1,3.9,395,POP
494,23.3,10.8,2603,POP
495,19.9,9.0,1609,Eco-Friendly
496,4.9,2.2,113,POP
497,21.9,9.8,2307,POP
498,65.9,29.7,17692,Eco-Friendly
499,14.0,6.6,941,Clay
500,15.1,6.7,932,Eco-Friendly
501,24.2,10.8,2383,Eco-Friendly
502,39.2,17.5,7375,Clay
503,30.1,13.3,4351,Clay
504,23.5,10.6,2644,POP
505,5.8,2.7,137,Eco-Friendly
506,14.8,6.7,898,Eco-Friendly
507,14.5,6.5,855,Eco-Friendly
508,31.9,14.2,4877,Synthetic
509,18.7,8.4,1687,Clay
510,14.9,6.6,1063,Synthetic
511,24.7,11.3,2930,Synthetic
512,6.2,2.9,182,POP
513,9.8,4.2,392,Eco-Friendly
514,7.9,3.6,251,Eco-Friendly
515,8.0,3.4,307,POP
516,29.5,13.2,4179,POP
517,51.9,23.1,12906,Clay
518,8.9,4.1,382,Clay
519,16.3,7.5,1084,Eco-Friendly
520,11.3,4.8,609,Synthetic
521,15.9,7.3,1219,Clay
522,10.0,4.3,480,POP
523,24.2,10.8,2808,POP
524,11.1,5.1,591,Clay
525,15.0,6.5,914,Eco-Friendly
526,14.3,6.2,974,POP
527,14.8,6.5,1051,POP
528,60.6,27.4,17645,POP
529,6.6,3.2,175,Eco-Friendly
530,39.4,17.4,7436,Synthetic
531,8.6,3.6,303,Eco-Friendly
532,62.2,27.8,18578,POP
533,13.4,6.2,857,POP
534,6.9,3.0,228,POP
535,11.8,5.4,673,Clay
536,41.7,18.9,7102,Eco-Friendly
537,22.1,9.7,1987,Eco-Friendly
538,9.5,4.5,431,Clay
539,10.8,5.1,478,Eco-Friendly
540,11.8,5.2,572,Eco-Friendly
541,6.6,2.7,208,POP
542,31.8,14.5,4856,Clay
543,5.0,2.4,118,POP
544,6.1,2.5,177,POP
545,5.1,2.1,126,POP
546,19.0,8.3,1476,Eco-Friendly
547,20.9,9.7,2103,Clay
548,7.0,3.0,197,Eco-Friendly
549,12.0,5.6,686,Clay
550,10.6,5.1,543,POP
551,29.7,13.4,4231,POP
552,5.0,2.5,102,Eco-Friendly
553,14.7,6.7,875,Eco-Friendly
554,34.5,15.8,4860,Eco-Friendly
555,11.5,5.1,635,Clay
556,41.6,18.9,8294,Clay
557,13.0,5.8,815,POP
558,12.3,5.4,612,Eco-Friendly
559,6.9,3.4,196,Eco-Friendly
560,46.0,20.9,8624,Eco-Friendly
561,37.3,17.0,6695,Clay
562,9.7,4.6,451,POP
563,6.0,2.6,171,Clay
564,5.9,2.9,164,Clay
565,7.1,3.4,241,Clay
566,4.3,1.9,74,Eco-Friendly
567,10.3,4.6,511,POP
568,5.5,2.2,122,Eco-Friendly
569,12.7,5.8,777,POP
570,19.0,8.4,1469,Eco-Friendly
571,12.2,5.5,609,Eco-Friendly
572,24.9,11.0,2976,Clay
573,7.9,3.3,250,Eco-Friendly
574,12.3,5.8,730,POP
575,27.2,12.4,3552,POP
576,21.4,9.8,2204,Synthetic
577,19.7,9.1,1862,POP
578,39.0,17.5,6192,Eco-Friendly
579,39.4,17.7,6323,Eco-Friendly
580,26.1,11.6,3280,POP
581,16.8,7.5,1355,Clay
582,17.1,7.4,1402,POP
583,14.0,6.1,937,Synthetic
584,11.5,5.1,633,Synthetic
585,9.8,4.4,462,Clay
586,15.1,6.5,1098,POP
587,7.8,3.8,290,Clay
588,54.3,24.6,12032,Eco-Friendly
589,13.5,6.3,870,POP
590,15.1,6.5,932,Eco-Friendly
591,13.6,5.9,892,POP
592,23.1,10.2,2173,Eco-Friendly
593,6.6,2.8,180,Eco-Friendly
594,8.3,3.9,281,Eco-Friendly
595,7.7,3.7,282,Clay
596,28.8,13.0,3375,Eco-Friendly
597,14.3,6.7,983,Synthetic
598,36.3,16.2,6316,Synthetic
599,4.9,2.2,115,POP
600,32.8,14.9,4375,Eco-Friendly
601,67.1,30.4,21619,Clay
602,19.8,8.9,1592,Eco-Friendly
603,10.1,4.6,413,Eco-Friendly
604,15.7,7.3,1181,Clay
605,21.2,9.7,2155,POP
606,16.5,7.7,1309,Clay
607,7.7,3.4,286,Clay
608,15.6,6.9,1170,POP
609,29.6,13.2,3565,Eco-Friendly
610,45.7,20.5,10039,POP
611,37.7,16.9,5806,Eco-Friendly
612,9.8,4.3,389,Eco-Friendly
613,37.1,17.0,6606,POP
614,16.5,7.4,1306,Clay
615,39.5,17.8,7495,Synthetic
616,10.5,5.0,532,POP
617,13.0,5.6,806,Synthetic
618,9.3,3.9,411,POP
619,14.0,6.2,793,Eco-Friendly
620,36.6,16.3,5473,Eco-Friendly
621,33.4,15.3,5364,Clay
622,11.5,5.1,639,Synthetic
623,23.4,10.2,2626,POP
624,8.7,3.9,361,Clay
625,11.5,5.3,638,POP
626,35.7,16.3,5204,Eco-Friendly
627,21.8,9.9,1933,Eco-Friendly
628,13.6,6.0,884,POP
629,39.7,18.0,6439,Eco-Friendly
630,8.1,3.6,269,Eco-Friendly
631,30.0,13.6,4323,Clay
632,10.5,4.5,448,Eco-Friendly
633,28.1,12.6,3785,Synthetic
634,21.3,9.4,2182,Clay
635,26.9,12.1,3475,Synthetic
636,24.8,10.9,2945,Clay
637,62.1,28.1,18532,Clay
638,4.3,2.0,88,Clay
639,10.0,4.6,481,Synthetic
640,8.5,4.1,296,Eco-Friendly
641,21.2,9.6,1839,Eco-Friendly
642,18.7,8.5,1684,Clay
643,10.2,4.4,498,Clay
644,4.5,2.0,95,POP
645,14.2,6.2,965,Clay
646,5.6,2.2,152,Clay
647,7.8,3.3,288,POP
648,6.7,3.3,181,Eco-Friendly
649,18.3,8.5,1361,Eco-Friendly
650,17.6,7.9,1484,POP
651,21.1,9.6,1821,Eco-Friendly
652,6.6,3.2,178,Eco-Friendly
653,10.5,4.4,448,Eco-Friendly
654,31.4,13.9,4724,Clay
655,41.0,18.6,8053,POP
656,4.8,2.2,110,POP
657,5.2,2.5,128,Clay
658,10.3,4.9,512,Synthetic
659,36.8,16.5,6504,POP
660,13.8,6.2,918,Clay
661,19.2,8.6,1768,POP
662,12.1,5.4,706,Clay
663,16.1,7.4,1237,Clay
664,9.1,3.9,338,Eco-Friendly
665,13.0,6.1,816,Clay
666,14.5,6.5,1005,Clay
667,26.1,12.0,3282,POP
668,7.8,3.4,248,Eco-Friendly
669,28.5,12.7,3892,Synthetic
670,32.5,14.5,5084,POP
671,14.0,6.5,942,Clay
672,6.7,2.8,215,POP
673,4.7,1.8,104,POP
674,18.0,8.1,1316,Eco-Friendly
675,7.6,3.2,232,Eco-Friendly
676,11.6,5.3,551,Eco-Friendly
677,48.0,21.5,11072,POP
678,11.9,5.3,679,Clay
679,5.6,2.7,130,Eco-Friendly
680,14.1,6.4,953,Clay
681,11.5,5.4,631,Clay
682,4.5,2.2,95,POP
683,10.9,4.6,573,POP
684,10.9,5.1,480,Eco-Friendly
685,22.3,10.2,2389,POP
686,23.4,10.5,2239,Eco-Friendly
687,45.5,20.7,9938,POP
688,36.2,16.0,5344,Eco-Friendly
689,29.7,13.4,4244,Synthetic
690,7.9,3.5,301,Clay
691,24.4,10.7,2863,Clay
692,10.6,4.5,459,Eco-Friendly
693,4.2,1.8,83,Synthetic
694,11.4,4.8,622,POP
695,8.3,3.8,333,Clay
696,36.3,16.5,6316,Clay
697,13.0,5.8,810,POP
698,4.6,1.9,103,POP
699,23.9,10.8,2739,POP
700,5.7,2.7,130,Eco-Friendly
701,28.6,12.7,3932,Clay
702,22.5,10.1,2420,Clay
703,13.8,6.3,907,POP
704,33.0,14.9,5226,POP
705,9.9,4.3,469,POP
706,13.7,6.3,901,POP
707,7.0,2.9,198,Eco-Friendly
708,19.2,8.9,1760,POP
709,12.7,5.6,770,POP
710,14.3,6.7,982,POP
711,13.7,6.3,899,Synthetic
712,10.3,4.8,507,POP
713,11.3,5.1,516,Eco-Friendly
714,36.8,16.6,5511,Eco-Friendly
715,15.2,6.5,1102,Synthetic
716,15.4,7.1,1136,POP
717,19.1,8.6,1495,Eco-Friendly
718,36.4,16.3,6342,POP
719,33.5,15.3,4590,Eco-Friendly
720,20.3,9.0,1973,Synthetic
721,37.9,17.0,6900,Synthetic
722,5.8,2.7,162,POP
723,27.5,12.4,3632,POP
724,9.9,4.3,473,POP
725,9.4,4.0,426,Clay
726,8.4,3.9,289,Eco-Friendly
727,65.1,29.5,20370,Synthetic
728,39.3,17.9,7414,Clay
729,24.2,10.9,2814,Clay
730,4.3,1.8,87,Synthetic
731,7.5,3.5,231,Eco-Friendly
732,21.8,9.8,2288,POP
733,15.0,6.5,1077,POP
734,19.7,9.1,1575,Eco-Friendly
735,19.4,8.6,1797,POP
736,8.6,3.8,300,Eco-Friendly
737,11.3,4.8,615,Synthetic
738,11.7,5.6,559,Eco-Friendly
739,17.8,8.2,1290,Eco-Friendly
740,15.2,7.0,942,Eco-Friendly
741,4.3,1.7,86,POP
742,7.5,3.1,226,Eco-Friendly
743,6.8,3.1,189,Eco-Friendly
744,4.6,2.1,85,Eco-Friendly
745,31.9,14.2,4882,POP
746,5.5,2.3,120,Eco-Friendly
747,7.1,3.4,205,Eco-Friendly
748,56.9,25.8,15527,Synthetic
749,11.4,5.3,626,Clay
750,21.6,9.5,2235,POP
751,53.6,24.3,11730,Eco-Friendly
752,23.2,10.4,2578,POP
753,6.6,2.8,207,Clay
754,29.2,12.9,4090,POP
755,17.2,7.5,1417,POP
756,12.0,5.5,590,Eco-Friendly
757,7.2,3.2,210,Eco-Friendly
758,7.2,3.0,247,POP
759,7.5,3.2,228,Eco-Friendly
760,21.0,9.2,1799,Eco-Friendly
761,5.8,2.5,138,Eco-Friendly
762,14.6,6.9,1028,POP
763,7.6,3.4,279,Clay
764,36.4,16.4,6362,POP
765,31.0,14.1,3912,Eco-Friendly
766,4.2,2.0,70,Eco-Friendly
