pandal_id,vehicle_number,vehicle_type,length,width,number_of_wheels
132,TS07BH9515,Mini Truck,5.8,2.2,6
133,TS10IH2223,Trailer,12.0,2.6,14
134,TS08KE2494,Mini Truck,4.8,1.9,4
135,TS07YH3141,Lorry,12.0,2.6,14
136,TS11NX7471,Mini Truck,4.8,1.9,4
137,TS10GU9614,Mini Truck,4.8,1.9,4
138,TS07ZP9674,Mini Truck,5.8,2.2,6
139,TS09SS3328,Mini Truck,4.8,1.9,4
140,TS07ES3320,Lorry,12.0,2.6,14
141,TS10JX5825,Mini Truck,4.8,1.9,4
142,TS09FU2453,Pickup Van,4.8,1.9,4
143,TS08OC1547,Mini Truck,5.8,2.2,6
144,TS08BD6424,Mini Truck,5.8,2.2,6
145,TS08DA4390,Tractor,5.8,2.2,6
146,TS10IH5400,Pickup Van,4.8,1.9,4
147,TS07MW1568,Truck,8.5,2.5,10
148,TS11MR6343,Lorry,12.0,2.6,14
149,TS10UP8750,Trailer,12.0,2.6,14
150,TS10WV2609,Trailer,12.0,2.6,14
151,TS11ME9589,Mini Truck,5.8,2.2,6
152,TS11OF8775,Truck,8.5,2.5,10
153,TS08TZ1138,Mini Truck,5.8,2.2,6
154,TS07QV7131,Trailer,12.0,2.6,14
155,TS07UP5843,Trailer,12.0,2.6,14
156,TS10EX5237,Lorry,12.0,2.6,14
157,TS11DV7253,Mini Truck,5.8,2.2,6
158,TS07OI4430,Truck,8.5,2.5,10
159,TS07VA5076,Truck,8.5,2.5,10
160,TS09YG3701,Mini Truck,5.8,2.2,6
161,TS07WD7828,Truck,8.5,2.5,10
162,TS09DZ2741,Mini Truck,5.8,2.2,6
163,TS08CY9383,Lorry,12.0,2.6,14
164,TS07EV3793,Mini Truck,5.8,2.2,6
165,TS07FD7816,Truck,8.5,2.5,10
166,TS11YX4669,Mini Truck,4.8,1.9,4
167,TS07YP6253,Tractor,5.8,2.2,6
168,TS10NB9996,Hydraulic Vehicle,14.5,2.8,16
169,TS07DY4633,Lorry,8.5,2.5,10
170,TS08WK2765,Mini Truck,4.8,1.9,4
171,TS11FX3103,Trailer,12.0,2.6,14
172,TS11UG4291,Mini Truck,4.8,1.9,4
173,TS11DA7240,Lorry,8.5,2.5,10
174,TS08QZ5712,Pickup Van,4.8,1.9,4
175,TS08VC4063,Truck,8.5,2.5,10
176,TS07ZW6207,Lorry,8.5,2.5,10
177,TS10HU4994,Mini Truck,5.8,2.2,6
178,TS07FY9814,Mini Truck,5.8,2.2,6
179,TS09RC4729,Pickup Van,4.8,1.9,4
180,TS09YO7249,Mini Truck,4.8,1.9,4
181,TS11RC5992,Pickup Van,4.8,1.9,4
182,TS09VC5107,Trailer,12.0,2.6,14
183,TS09NF1079,Truck,8.5,2.5,10
184,TS11GI2252,Pickup Van,4.8,1.9,4
185,TS08OQ9362,Mini Truck,5.8,2.2,6
186,TS10HC5331,Lorry,8.5,2.5,10
187,TS09SU2275,Truck,8.5,2.5,10
188,TS08FL2938,Tractor,5.8,2.2,6
189,TS09FQ7642,Pickup Van,4.8,1.9,4
190,TS10TS2127,Lorry,8.5,2.5,10
191,TS10QN7068,Trailer,12.0,2.6,14
192,TS09GA1116,Lorry,12.0,2.6,14
193,TS10RZ8904,Hydraulic Vehicle,14.5,2.8,16
194,TS07ZC3381,Mini Truck,5.8,2.2,6
195,TS11JG1550,Lorry,8.5,2.5,10
196,TS11SL6693,Truck,8.5,2.5,10
197,TS10MS8923,Hydraulic Vehicle,14.5,2.8,16
198,TS07MV6603,Tractor,5.8,2.2,6
199,TS08TL3555,Lorry,12.0,2.6,14
200,TS11EB9613,Tractor,5.8,2.2,6
201,TS08RI4885,Trailer,12.0,2.6,14
202,TS10GE3450,Lorry,12.0,2.6,14
203,TS09PU2577,Pickup Van,4.8,1.9,4
204,TS10TJ8598,Tractor,5.8,2.2,6
205,TS09XS9535,Lorry,8.5,2.5,10
206,TS07IT3544,Mini Truck,5.8,2.2,6
207,TS08WR3900,Hydraulic Vehicle,14.5,2.8,16
208,TS10RA9059,Truck,8.5,2.5,10
209,TS11YZ5454,Lorry,12.0,2.6,14
210,TS08DJ5410,Pickup Van,4.8,1.9,4
211,TS08GI7251,Mini Truck,4.8,1.9,4
212,TS09PU5895,Lorry,12.0,2.6,14
213,TS08FP2497,Truck,8.5,2.5,10
214,TS08IB8951,Hydraulic Vehicle,14.5,2.8,16
215,TS10AY9289,Tractor,5.8,2.2,6
216,TS09DD9572,Mini Truck,4.8,1.9,4
217,TS10CO1994,Pickup Van,4.8,1.9,4
218,TS08GQ5075,Pickup Van,4.8,1.9,4
219,TS09KR6319,Mini Truck,5.8,2.2,6
220,TS09AJ4635,Truck,8.5,2.5,10
221,TS09CS7550,Pickup Van,4.8,1.9,4
222,TS10DY4714,Trailer,12.0,2.6,14
223,TS08EK2352,Mini Truck,4.8,1.9,4
224,TS09YN6298,Truck,8.5,2.5,10
225,TS07DX1893,Pickup Van,4.8,1.9,4
226,TS11XE1301,Tractor,5.8,2.2,6
227,TS08MQ2631,Lorry,12.0,2.6,14
228,TS08QI2015,Mini Truck,4.8,1.9,4
229,TS11KO9883,Mini Truck,5.8,2.2,6
230,TS08XA6221,Pickup Van,4.8,1.9,4
231,TS08VA6886,Truck,8.5,2.5,10
232,TS08XV4323,Truck,8.5,2.5,10
233,TS10OB5025,Mini Truck,5.8,2.2,6
234,TS07XQ2854,Truck,8.5,2.5,10
235,TS10UL2397,Truck,8.5,2.5,10
236,TS07EG1057,Tractor,5.8,2.2,6
237,TS07FE1902,Mini Truck,4.8,1.9,4
238,TS09KL7208,Mini Truck,4.8,1.9,4
239,TS10TK5254,Hydraulic Vehicle,14.5,2.8,16
240,TS10BK6728,Truck,8.5,2.5,10
241,TS07UE8888,Trailer,12.0,2.6,14
242,TS08IA6556,Mini Truck,4.8,1.9,4
243,TS08QJ3867,Trailer,12.0,2.6,14
244,TS08XB8526,Pickup Van,4.8,1.9,4
245,TS08JI9720,Truck,8.5,2.5,10
246,TS09TK9856,Lorry,12.0,2.6,14
247,TS07ZW8672,Truck,8.5,2.5,10
248,TS10OF5624,Trailer,12.0,2.6,14
249,TS07KG8063,Truck,8.5,2.5,10
250,TS11DV7208,Mini Truck,4.8,1.9,4
251,TS09JS5989,Lorry,8.5,2.5,10
252,TS07HN7459,Trailer,12.0,2.6,14
253,TS10VN3224,Pickup Van,4.8,1.9,4
254,TS08WQ5411,Pickup Van,4.8,1.9,4
255,TS07VU9834,Pickup Van,4.8,1.9,4
256,TS11FS1845,Lorry,8.5,2.5,10
257,TS08IZ4869,Truck,8.5,2.5,10
258,TS07BF8602,Mini Truck,4.8,1.9,4
259,TS07RU6797,Tractor,5.8,2.2,6
260,TS07ND9605,Mini Truck,5.8,2.2,6
261,TS09JO2240,Mini Truck,5.8,2.2,6
262,TS10CP4287,Hydraulic Vehicle,14.5,2.8,16
263,TS07BV7397,Truck,8.5,2.5,10
264,TS10BU2485,Mini Truck,4.8,1.9,4
265,TS07GA4907,Tractor,5.8,2.2,6
266,TS11HC1604,Mini Truck,4.8,1.9,4
267,TS11ZT4613,Lorry,12.0,2.6,14
268,TS10FW7060,Mini Truck,5.8,2.2,6
269,TS08GE5439,Lorry,8.5,2.5,10
270,TS11QH8605,Pickup Van,4.8,1.9,4
271,TS07RF3589,Tractor,5.8,2.2,6
272,TS08CP8936,Mini Truck,4.8,1.9,4
273,TS10FY6629,Mini Truck,5.8,2.2,6
274,TS08HK8114,Trailer,12.0,2.6,14
275,TS08CR1203,Lorry,12.0,2.6,14
276,TS07MW6454,Mini Truck,4.8,1.9,4
277,TS09LF2097,Tractor,5.8,2.2,6
278,TS10PQ9629,Mini Truck,5.8,2.2,6
279,TS08ID3424,Trailer,12.0,2.6,14
280,TS10SK6346,Pickup Van,4.8,1.9,4
281,TS11FW9770,Mini Truck,4.8,1.9,4
282,TS08LO9845,Truck,8.5,2.5,10
283,TS11XO6549,Hydraulic Vehicle,14.5,2.8,16
284,TS07CR8298,Truck,8.5,2.5,10
285,TS08XO7809,Tractor,5.8,2.2,6
286,TS10UI7791,Trailer,12.0,2.6,14
287,TS10DU5713,Pickup Van,4.8,1.9,4
288,TS11XS1287,Lorry,8.5,2.5,10
289,TS11KK5932,Mini Truck,5.8,2.2,6
290,TS10OC2909,Pickup Van,4.8,1.9,4
291,TS08GE2287,Pickup Van,4.8,1.9,4
292,TS07TG4277,Mini Truck,4.8,1.9,4
293,TS07GQ8777,Tractor,5.8,2.2,6
294,TS07KP2895,Tractor,5.8,2.2,6
295,TS10QV2392,Hydraulic Vehicle,14.5,2.8,16
296,TS10LP7626,Trailer,12.0,2.6,14
297,TS11TD2253,Lorry,8.5,2.5,10
298,TS07FR5965,Trailer,12.0,2.6,14
299,TS11VL5660,Tractor,5.8,2.2,6
300,TS11CW2073,Mini Truck,5.8,2.2,6
301,TS10DW4373,Lorry,8.5,2.5,10
302,TS11DS6518,Tractor,5.8,2.2,6
303,TS07UW9457,Tractor,5.8,2.2,6
304,TS10NK2055,Mini Truck,5.8,2.2,6
305,TS08FI3235,Hydraulic Vehicle,14.5,2.8,16
306,TS08DS9196,Lorry,12.0,2.6,14
307,TS08GI8200,Lorry,12.0,2.6,14
308,TS07WZ4926,Lorry,12.0,2.6,14
309,TS08OU6196,Lorry,12.0,2.6,14
310,TS07UU4010,Tractor,5.8,2.2,6
311,TS09GC7791,Lorry,12.0,2.6,14
312,TS09FS2922,Mini Truck,4.8,1.9,4
313,TS10FN3391,Lorry,12.0,2.6,14
314,TS11BB6453,Lorry,8.5,2.5,10
315,TS09FQ9074,Pickup Van,4.8,1.9,4
316,TS10YE8208,Tractor,5.8,2.2,6
317,TS07LC4337,Tractor,5.8,2.2,6
318,TS09VV2998,Truck,8.5,2.5,10
319,TS09KZ1909,Mini Truck,5.8,2.2,6
320,TS11EL2574,Mini Truck,4.8,1.9,4
321,TS10QU9596,Tractor,5.8,2.2,6
322,TS10DO5151,Lorry,12.0,2.6,14
323,TS08FC5248,Lorry,8.5,2.5,10
324,TS07GD1260,Lorry,12.0,2.6,14
325,TS10AO4975,Pickup Van,4.8,1.9,4
326,TS08WB9655,Tractor,5.8,2.2,6
327,TS08QH6556,Lorry,8.5,2.5,10
328,TS08TP2653,Truck,8.5,2.5,10
329,TS10IK6820,Pickup Van,4.8,1.9,4
330,TS08UD4365,Lorry,12.0,2.6,14
331,TS11FC5358,Mini Truck,4.8,1.9,4
332,TS07KK7580,Lorry,12.0,2.6,14
333,TS09QT3406,Trailer,12.0,2.6,14
334,TS08CQ6115,Mini Truck,5.8,2.2,6
335,TS09SX1085,Mini Truck,5.8,2.2,6
336,TS11SG6919,Truck,8.5,2.5,10
337,TS10OW9020,Lorry,8.5,2.5,10
338,TS07DL5744,Trailer,12.0,2.6,14
339,TS07BN8883,Lorry,12.0,2.6,14
340,TS10KR1750,Mini Truck,4.8,1.9,4
341,TS10QA2970,Truck,8.5,2.5,10
342,TS11KM5213,Mini Truck,5.8,2.2,6
343,TS09EN6311,Lorry,8.5,2.5,10
344,TS10UH1305,Truck,8.5,2.5,10
345,TS07AO5739,Lorry,8.5,2.5,10
346,TS07EX5578,Lorry,8.5,2.5,10
347,TS08UA8807,Hydraulic Vehicle,14.5,2.8,16
348,TS10FY1138,Tractor,5.8,2.2,6
349,TS10WW4425,Hydraulic Vehicle,14.5,2.8,16
350,TS08VA9731,Pickup Van,4.8,1.9,4
351,TS10RO6181,Mini Truck,5.8,2.2,6
352,TS10ZA6477,Truck,8.5,2.5,10
353,TS09WC3089,Hydraulic Vehicle,14.5,2.8,16
354,TS10ZN2659,Pickup Van,4.8,1.9,4
355,TS08ZB1991,Tractor,5.8,2.2,6
356,TS11RB7915,Mini Truck,5.8,2.2,6
357,TS07PH1060,Mini Truck,5.8,2.2,6
358,TS10GU6896,Mini Truck,5.8,2.2,6
359,TS09GJ8474,Lorry,12.0,2.6,14
360,TS11SG9773,Tractor,5.8,2.2,6
361,TS08KW7125,Tractor,5.8,2.2,6
362,TS09IR2388,Tractor,5.8,2.2,6
363,TS09UC6883,Mini Truck,5.8,2.2,6
364,TS11IA5906,Tractor,5.8,2.2,6
365,TS07KG8025,Tractor,5.8,2.2,6
366,TS11ZB3279,Lorry,8.5,2.5,10
367,TS08DV3910,Mini Truck,4.8,1.9,4
368,TS07ER7855,Mini Truck,4.8,1.9,4
369,TS07EO2048,Tractor,5.8,2.2,6
370,TS10MV4005,Mini Truck,5.8,2.2,6
371,TS10OF5141,Pickup Van,4.8,1.9,4
372,TS07CR4969,Tractor,5.8,2.2,6
373,TS07VR4541,Mini Truck,4.8,1.9,4
374,TS08CA7908,Truck,8.5,2.5,10
375,TS11GR7472,Trailer,12.0,2.6,14
376,TS09DT6314,Trailer,12.0,2.6,14
377,TS08AT3032,Mini Truck,5.8,2.2,6
378,TS09YA4752,Mini Truck,4.8,1.9,4
379,TS07UE4345,Mini Truck,4.8,1.9,4
380,TS10CL7524,Tractor,5.8,2.2,6
381,TS10JO5640,Pickup Van,4.8,1.9,4
382,TS10BD7304,Tractor,5.8,2.2,6
383,TS09TO3414,Mini Truck,4.8,1.9,4
384,TS11JX7743,Tractor,5.8,2.2,6
385,TS08FL4053,Lorry,8.5,2.5,10
386,TS07MD5534,Lorry,12.0,2.6,14
387,TS09TN6514,Tractor,5.8,2.2,6
388,TS11IW5072,Truck,8.5,2.5,10
389,TS10XT2333,Truck,8.5,2.5,10
390,TS11OF8311,Mini Truck,4.8,1.9,4
391,TS08RU9060,Mini Truck,4.8,1.9,4
392,TS09XS4082,Pickup Van,4.8,1.9,4
393,TS07RO6176,Mini Truck,5.8,2.2,6
394,TS09WM1963,Tractor,5.8,2.2,6
395,TS10MC9648,Tractor,5.8,2.2,6
396,TS08GZ4205,Tractor,5.8,2.2,6
397,TS11NE7619,Lorry,12.0,2.6,14
398,TS07PU9351,Mini Truck,5.8,2.2,6
399,TS10RR9684,Pickup Van,4.8,1.9,4
400,TS08SG3641,Tractor,5.8,2.2,6
401,TS09QL9818,Lorry,8.5,2.5,10
402,TS09MU3675,Lorry,8.5,2.5,10
403,TS11HC5425,Trailer,12.0,2.6,14
404,TS11XJ9021,Mini Truck,5.8,2.2,6
405,TS08EM5380,Lorry,12.0,2.6,14
406,TS09NY6123,Mini Truck,5.8,2.2,6
407,TS11GX1119,Mini Truck,5.8,2.2,6
408,TS08QL1834,Lorry,12.0,2.6,14
409,TS11BO8999,Mini Truck,4.8,1.9,4
410,TS10AE5098,Mini Truck,5.8,2.2,6
411,TS09BE7464,Pickup Van,4.8,1.9,4
412,TS07ZA3066,Tractor,5.8,2.2,6
413,TS08IY2884,Pickup Van,4.8,1.9,4
414,TS08NA4270,Pickup Van,4.8,1.9,4
415,TS09BF1669,Tractor,5.8,2.2,6
416,TS09XY9664,Truck,8.5,2.5,10
417,TS11XE1717,Lorry,8.5,2.5,10
418,TS08JB1996,Mini Truck,5.8,2.2,6
419,TS11OQ9602,Pickup Van,4.8,1.9,4
420,TS07UL7047,Truck,8.5,2.5,10
421,TS10UI4377,Hydraulic Vehicle,14.5,2.8,16
422,TS08UJ1344,Mini Truck,5.8,2.2,6
423,TS07AY1716,Lorry,8.5,2.5,10
424,TS08HB9905,Trailer,12.0,2.6,14
425,TS07PF2804,Tractor,5.8,2.2,6
426,TS09DI9179,Trailer,12.0,2.6,14
427,TS09EC6292,Lorry,12.0,2.6,14
428,TS11WN9633,Mini Truck,5.8,2.2,6
429,TS08BX3257,Mini Truck,4.8,1.9,4
430,TS07SN3452,Mini Truck,5.8,2.2,6
431,TS07MN8443,Truck,8.5,2.5,10
432,TS09UU7637,Mini Truck,5.8,2.2,6
433,TS11GU1530,Pickup Van,4.8,1.9,4
434,TS07KN9250,Tractor,5.8,2.2,6
435,TS10ZE6554,Truck,8.5,2.5,10
436,TS10DO6139,Mini Truck,4.8,1.9,4
437,TS11VE8222,Mini Truck,4.8,1.9,4
438,TS08SM2195,Pickup Van,4.8,1.9,4
439,TS08WX8802,Mini Truck,4.8,1.9,4
440,TS09UF2369,Pickup Van,4.8,1.9,4
441,TS10RW3632,Mini Truck,4.8,1.9,4
442,TS09QX1060,Trailer,12.0,2.6,14
443,TS09LA5947,Pickup Van,4.8,1.9,4
444,TS10JV8167,Mini Truck,5.8,2.2,6
445,TS08HY8448,Truck,8.5,2.5,10
446,TS08AN1535,Tractor,5.8,2.2,6
447,TS08MK9475,Trailer,12.0,2.6,14
448,TS11MA3138,Pickup Van,4.8,1.9,4
449,TS11DD3323,Truck,8.5,2.5,10
450,TS08JA3927,Tractor,5.8,2.2,6
451,TS07GA6366,Mini Truck,5.8,2.2,6
452,TS09MD6105,Trailer,12.0,2.6,14
453,TS07QI7714,Lorry,12.0,2.6,14
454,TS07WK4502,Mini Truck,5.8,2.2,6
455,TS07IN2953,Pickup Van,4.8,1.9,4
456,TS07PD7800,Lorry,12.0,2.6,14
457,TS07KW8138,Pickup Van,4.8,1.9,4
458,TS08SO2964,Tractor,5.8,2.2,6
459,TS07LR4971,Truck,8.5,2.5,10
460,TS11DE4584,Lorry,8.5,2.5,10
461,TS07PV9698,Mini Truck,4.8,1.9,4
462,TS08MF5520,Lorry,8.5,2.5,10
463,TS07HX5395,Trailer,12.0,2.6,14
464,TS07VP8011,Mini Truck,4.8,1.9,4
465,TS08YD2638,Trailer,12.0,2.6,14
466,TS08VE6852,Pickup Van,4.8,1.9,4
467,TS09JG1673,Tractor,5.8,2.2,6
468,TS07ZJ1255,Lorry,8.5,2.5,10
469,TS08XG8078,Truck,8.5,2.5,10
470,TS08IE7820,Lorry,8.5,2.5,10
471,TS07RA7896,Tractor,5.8,2.2,6
472,TS07IU2753,Tractor,5.8,2.2,6
473,TS07ZP4288,Pickup Van,4.8,1.9,4
474,TS11VO3018,Hydraulic Vehicle,14.5,2.8,16
475,TS07ON7960,Tractor,5.8,2.2,6
476,TS09WQ7399,Mini Truck,5.8,2.2,6
477,TS08WK6703,Truck,8.5,2.5,10
478,TS11ID1613,Lorry,8.5,2.5,10
479,TS10QZ4150,Truck,8.5,2.5,10
480,TS11LL3258,Mini Truck,5.8,2.2,6
481,TS09CF5719,Trailer,12.0,2.6,14
482,TS08RX6400,Tractor,5.8,2.2,6
483,TS10QH6738,Lorry,12.0,2.6,14
484,TS11ED8175,Truck,8.5,2.5,10
485,TS07EO3958,Lorry,12.0,2.6,14
486,TS09LY5795,Lorry,8.5,2.5,10
487,TS07HW8213,Mini Truck,5.8,2.2,6
488,TS09BR6698,Pickup Van,4.8,1.9,4
489,TS10SX9501,Hydraulic Vehicle,14.5,2.8,16
490,TS07JS6259,Mini Truck,4.8,1.9,4
491,TS09YZ5524,Mini Truck,5.8,2.2,6
492,TS07VL9854,Truck,8.5,2.5,10
493,TS10JT1510,Tractor,5.8,2.2,6
494,TS07HS9249,Truck,8.5,2.5,10
495,TS09XD4949,Lorry,8.5,2.5,10
496,TS11IZ5700,Mini Truck,4.8,1.9,4
497,TS07NA3735,Lorry,8.5,2.5,10
498,TS09ON8368,Hydraulic Vehicle,14.5,2.8,16
499,TS07HJ9082,Tractor,5.8,2.2,6
500,TS09FD5716,Lorry,8.5,2.5,10
501,TS07PA7054,Truck,8.5,2.5,10
502,TS07XZ4644,Trailer,12.0,2.6,14
503,TS08SM4607,Lorry,12.0,2.6,14
504,TS11MU4845,Truck,8.5,2.5,10
505,TS10KH7960,Pickup Van,4.8,1.9,4
506,TS11YK5286,Mini Truck,5.8,2.2,6
507,TS08TR1326,Mini Truck,5.8,2.2,6
508,TS09KN4532,Lorry,12.0,2.6,14
509,TS09CC2210,Lorry,8.5,2.5,10
510,TS09US8723,Tractor,5.8,2.2,6
511,TS10LP2785,Truck,8.5,2.5,10
512,TS09XK3467,Mini Truck,4.8,1.9,4
513,TS07ME1223,Mini Truck,5.8,2.2,6
514,TS09QK7088,Pickup Van,4.8,1.9,4
515,TS10CA6109,Mini Truck,4.8,1.9,4
516,TS09TY7607,Trailer,12.0,2.6,14
517,TS08FA4798,Hydraulic Vehicle,14.5,2.8,16
518,TS10YM8773,Mini Truck,5.8,2.2,6
519,TS07LO6668,Lorry,8.5,2.5,10
520,TS11IB5504,Tractor,5.8,2.2,6
521,TS07TW3509,Truck,8.5,2.5,10
522,TS11AV7605,Tractor,5.8,2.2,6
523,TS11LD6594,Truck,8.5,2.5,10
524,TS08JB7214,Mini Truck,5.8,2.2,6
525,TS11ME9813,Tractor,5.8,2.2,6
526,TS10EO6291,Mini Truck,5.8,2.2,6
527,TS11OS8126,Mini Truck,5.8,2.2,6
528,TS08QF5924,Hydraulic Vehicle,14.5,2.8,16
529,TS09JC4024,Pickup Van,4.8,1.9,4
530,TS07ME6215,Trailer,12.0,2.6,14
531,TS11TY7523,Tractor,5.8,2.2,6
532,TS08MV9476,Hydraulic Vehicle,14.5,2.8,16
533,TS09XU2899,Mini Truck,5.8,2.2,6
